"Repayment Overview","Aflossingsoverzicht"
"Starting from: ","Vanaf: "
"The import of Santander Prices has been added to the queue.","De import van de Santander prijzen werd toegevoegd aan de wachtrij."
"An e-mail will be send to: %s once the indexation is finished","Er wordt een e-mail verstuurd naar: %s wanneer de indexatie voltooid is."
"Unable to save Cron expression","Fout bij het opslaan van de Cron expressie"
"Your payment has been rejected.","Uw betaling werd geweigerd."
"Your payment has been accepted.","Uw betaling werd aanvaard."
"Your payment is refered.","Uw betaling is momenteel in behandeling."
"Something went wrong, please try again.","Er is een fout opgetreden, gelieve opnieuw te proberen."
"Santander Reject","Santander weigering"
"Santander Accept","Santander acceptatie"
"Santander Refer","Santander verwijzing"
"Santander New Card","Santander nieuwe kaart"
"Santander Recurring Card","Santander herhaalaankoop"
